ArraySize,HybridSort,MergeSort
400,2.276917000000026,2.438083000000006
401,2.15949999999998,2.231625000000008
402,2.2877500000000737,2.3752499999999372
403,2.2201250000000528,2.386291999999912
404,2.318208000000027,2.4013329999999087
405,2.3294160000000375,2.3994579999999814
406,2.2656249999998863,2.4372919999999567
407,2.417541999999912,2.3945410000001175
408,2.274332999999956,2.467708000000016
409,2.3159579999999096,2.470458000000008
410,2.372333000000026,2.4883329999998978
411,2.3979590000000144,3.355000000000018
412,2.614417000000003,2.6002500000000737
413,2.371499999999969,2.488083000000074
414,2.3902500000000373,3.0612089999999625
415,3.3885410000001457,3.612750000000119
416,2.8075000000000045,2.5220829999999523
417,2.317957999999976,2.4019579999999223
418,2.292250000000081,2.4097080000000233
419,2.502666999999974,2.6074579999999514
420,2.43908399999998,2.610249999999951
421,2.5464580000000296,2.665416999999934
422,2.4821670000001177,2.7238330000000133
423,2.493915999999899,2.586375000000089
424,2.470833999999968,2.572041000000013
425,2.5625420000000076,2.662417000000005
426,2.533374999999978,2.6005409999999074
427,2.611791999999923,2.915416999999934
428,2.6007920000000695,2.7129580000000715
429,2.6933329999999387,2.8375839999999926
430,2.610916999999972,2.627499999999941
431,2.6541659999999183,2.816208000000074
432,2.5588750000000573,2.5692920000000186
433,2.561459000000127,2.6715829999999414
434,2.54258399999992,2.7422080000001188
435,2.5727079999999205,2.675875000000019
436,2.510084000000006,2.610749999999939
437,2.566500000000019,2.722874999999931
438,2.478416000000152,2.540917000000036
439,2.5202500000000327,2.6304999999999836
440,2.6055000000000064,2.789625000000001
441,2.569665999999984,2.6726659999999356
442,2.5419999999999163,2.6531669999999394
443,2.475125000000048,2.7202080000000706
444,2.7924170000000004,2.8375839999999926
445,2.7010420000000295,2.8101669999999785
446,2.71875,2.8922499999998763
447,2.7558329999999387,2.7976660000000493
448,2.62987499999997,2.746415999999954
449,2.806250000000091,2.844957999999906
450,2.6298750000000837,2.757624999999962
451,2.7087080000000014,2.8237090000001217
452,2.865500000000111,2.9352080000001024
453,2.7630419999999276,2.860457999999994
454,2.6064170000001923,2.7422920000000204
455,2.948541999999975,2.961084000000028
456,2.779584,2.8739579999999023
457,2.8602079999999432,3.044834000000037
458,2.9120829999999387,2.9693749999999
459,2.843499999999949,2.9423750000000837
460,2.80275000000006,3.0097079999998186
461,2.9745839999998225,3.0386660000001484
462,2.7559170000001814,2.8709579999999733
463,2.8976249999998345,3.0585409999998774
464,2.7739590000001044,2.8860829999998714
465,2.7910830000000715,2.94399999999996
466,3.119042000000036,3.2324579999999514
467,2.8462919999999485,2.945875000000342
468,3.03391600000009,3.244249999999738
469,2.9147080000000187,3.0049999999998818
470,3.062417000000096,3.1269999999997253
471,3.1632089999998243,3.2519159999999374
472,2.9329170000000886,3.0547090000000026
473,3.0413750000000164,3.2136250000000928
474,3.072791999999936,3.111084000000119
475,3.0377499999997326,3.269999999999982
476,3.27800000000002,3.3168749999997544
477,3.0132500000001983,3.1014169999998558
478,3.0292080000001533,3.2196249999997235
479,3.0163330000000315,3.052791999999954
480,2.9738330000000133,3.065458999999919
481,3.056999999999789,3.2400829999999132
482,3.1172499999997854,3.2003339999998843
483,3.122165999999652,3.2330420000000686
484,3.3246670000000904,3.323750000000018
485,3.0829160000000684,3.2139170000000377
486,3.215791999999965,3.32754100000011
487,3.124458999999888,3.1805000000001655
488,3.161624999999958,3.308166999999912
489,3.229041000000052,3.287959000000228
490,3.1809169999999085,3.2672079999999823
491,3.3557080000000497,3.434208000000126
492,3.0434999999999945,3.1334170000000086
493,3.2527919999999995,3.432207999999946
494,3.4204999999999472,3.399165999999923
495,3.1477910000000975,3.2717919999997775
496,3.452125000000251,3.5162500000001273
497,3.3898330000001806,3.470166000000063
498,3.3854999999998654,3.5152080000000296
499,3.3429170000001704,3.413332999999966
500,3.215624999999818,3.3349580000001424
